emoji,subcat
♣️,game
🎱,game
🃏,game
🧩,game
🀄,game
🎰,game
🕹️,game
♟️,game
🪁,game
🎴,game
🪀,game
♀️,gender
♂️,gender
🔴,geometric
🔵,geometric
⚫,geometric
⚪,geometric
🔹,geometric
🟩,geometric
🔻,geometric
💠,geometric
🔷,geometric
⬛,geometric
🔺,geometric
🔸,geometric
🔶,geometric
🔘,geometric
⬜,geometric
▪️,geometric
🟥,geometric
🟡,geometric
🟦,geometric
🟨,geometric
🟣,geometric
◾,geometric
🟢,geometric
🟧,geometric
◼️,geometric
🟫,geometric
🟪,geometric
▫️,geometric
◽,geometric
🟤,geometric
🟠,geometric
🔲,geometric
◻️,geometric
🔳,geometric
🦲,hair-style
🦱,hair-style
🦰,hair-style
🦳,hair-style
👍,hand-fingers-closed
👊,hand-fingers-closed
👎,hand-fingers-closed
✊,hand-fingers-closed
🤜,hand-fingers-closed
🤛,hand-fingers-closed
👋,hand-fingers-open
✋,hand-fingers-open
🖐️,hand-fingers-open
🤚,hand-fingers-open
🖖,hand-fingers-open
👌,hand-fingers-partial
✌️,hand-fingers-partial
🤞,hand-fingers-partial
🤘,hand-fingers-partial
🤙,hand-fingers-partial
🤟,hand-fingers-partial
🤏,hand-fingers-partial
💅,hand-prop
✍️,hand-prop
🤳,hand-prop
👇,hand-single-finger
👉,hand-single-finger
🖕,hand-single-finger
☝️,hand-single-finger
👈,hand-single-finger
👆,hand-single-finger
🙏,hands
👏,hands
🙌,hands
🤝,hands
🤲,hands
👐,hands
🧳,hotel
🛎️,hotel
🚿,household
🛏️,household
🚽,household
🚪,household
🧹,household
🧺,household
🛒,household
🧼,household
🛁,household
🪑,household
🛋️,household
🧻,household
🧽,household
🪒,household
🧴,household
🧯,household
🧷,household
1️⃣,keycap
2️⃣,keycap
3️⃣,keycap
0️⃣,keycap
4️⃣,keycap
5️⃣,keycap
6️⃣,keycap
7️⃣,keycap
9️⃣,keycap
8️⃣,keycap
🔟,keycap
#️⃣,keycap
*️⃣,keycap
📸,light & video
💡,light & video
📺,light & video
📷,light & video
🎥,light & video
🕯️,light & video
🎬,light & video
📽️,light & video
🔎,light & video
📹,light & video
🔍,light & video
🎞️,light & video
🪔,light & video
🏮,light & video
🔦,light & video
📼,light & video
🔒,lock
🗝️,lock
🔐,lock
🔑,lock
🔓,lock
🔏,lock
📩,mail
📮,mail
✉️,mail
📦,mail
📬,mail
🗳️,mail
📧,mail
📨,mail
📤,mail
📥,mail
📫,mail
📭,mail
📪,mail
✖️,math
♾️,math
➖,math
➕,math
➗,math
💉,medical
💊,medical
🩸,medical
🩹,medical
🩺,medical
💰,money
💸,money
💵,money
💳,money
💴,money
💶,money
💷,money
🧾,money
💹,money
🙈,monkey-face
🙊,monkey-face
🙉,monkey-face
🎶,music
🎵,music
🎤,music
🎼,music
🎧,music
🎙️,music
📻,music
🎚️,music
🎛️,music
🎸,musical-instrument
🎻,musical-instrument
🥁,musical-instrument
🎹,musical-instrument
🎺,musical-instrument
🎷,musical-instrument
🪕,musical-instrument
📌,office
📍,office
🗑️,office
📈,office
✂️,office
🗓️,office
📉,office
🖇️,office
📆,office
📅,office
📎,office
📊,office
📏,office
💼,office
📐,office
📋,office
📁,office
🗒️,office
📂,office
🗄️,office
🗃️,office
🗂️,office
📇,office
🚬,other-object
🗿,other-object
⚰️,other-object
⚱️,other-object
✔️,other-symbol
✅,other-symbol
❌,other-symbol
☑️,other-symbol
⭕,other-symbol
♻️,other-symbol
🔰,other-symbol
❇️,other-symbol
⚜️,other-symbol
🔱,other-symbol
✳️,other-symbol
✴️,other-symbol
❎,other-symbol
📛,other-symbol
〽️,other-symbol
➰,other-symbol
⚕️,other-symbol
➿,other-symbol
👶,person
👩,person
👧,person
👦,person
👨,person
👵,person
👴,person
👱,person
🧓,person
🧔,person
🧒,person
🧑,person
👩‍🦰,person
